                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1749,                 2.3625,                 1.3732,                0.76576,                0.22571,                 0.3548,                0.21463,                 1.1152,                 2.6864,                 1.2938,             0.00054784,             0.00054784,             0.00054784
                      1,                 1.2202,                  1.779,                 1.3917,                0.49231,                0.51663,                0.51114,                0.29118,                 1.5031,                 2.2578,                 1.6486,              0.0010889,              0.0010889,              0.0010889
                      2,                 1.2587,                   1.72,                 1.4191,                0.60589,                0.51846,                0.51384,                0.28668,                 1.5053,                 2.0935,                 1.7387,              0.0016154,              0.0016154,              0.0016154
                      3,                 1.3098,                 1.6112,                 1.4521,                0.69411,                0.56089,                 0.6415,                0.35311,                  1.518,                 1.5521,                 1.6473,               0.001601,               0.001601,               0.001601
                      4,                 1.2589,                 1.4868,                  1.411,                0.56284,                0.59231,                0.56999,                 0.2739,                 1.5842,                 1.6975,                 1.6986,               0.001601,               0.001601,               0.001601
                      5,                 1.2505,                  1.403,                 1.4215,                0.65641,                0.65121,                0.70005,                0.41056,                 1.2967,                 1.3495,                 1.5991,               0.001579,               0.001579,               0.001579
                      6,                 1.2034,                 1.2905,                 1.3886,                0.73923,                0.65186,                0.72372,                 0.4161,                 1.2289,                 1.3173,                 1.4543,               0.001557,               0.001557,               0.001557
                      7,                 1.1688,                 1.2376,                 1.3567,                0.69822,                0.73059,                 0.7616,                 0.4307,                 1.2789,                 1.1892,                 1.4454,               0.001535,               0.001535,               0.001535
                      8,                 1.1549,                 1.1889,                 1.3458,                0.80239,                0.63055,                0.75324,                0.45137,                 1.2074,                 1.1547,                 1.4402,               0.001513,               0.001513,               0.001513
                      9,                 1.1297,                 1.1058,                 1.3297,                0.77729,                0.67999,                0.78588,                0.51358,                  1.148,                 1.0589,                 1.4192,               0.001491,               0.001491,               0.001491
                     10,                 1.1097,                 1.0541,                 1.3159,                0.77967,                0.78637,                0.82796,                0.49602,                 1.1813,                0.95372,                 1.3994,               0.001469,               0.001469,               0.001469
                     11,                 1.1542,                 1.1127,                 1.3279,                0.76751,                 0.7589,                0.81271,                 0.5221,                 1.1249,                 1.0354,                 1.3231,               0.001447,               0.001447,               0.001447
                     12,                 1.0834,                 1.0244,                 1.3038,                0.80679,                 0.7595,                0.81955,                0.51478,                 1.1497,                0.90448,                 1.3259,               0.001425,               0.001425,               0.001425
                     13,                 1.0838,                0.98924,                 1.2862,                   0.78,                0.76176,                0.82425,                0.50395,                 1.1053,                0.93888,                 1.2985,              0.0014029,              0.0014029,              0.0014029
                     14,                 1.0816,                0.99311,                 1.2811,                0.70099,                0.74044,                0.76336,                0.47307,                 1.2143,                 1.0137,                 1.4268,              0.0013809,              0.0013809,              0.0013809
                     15,                 1.0284,                0.94894,                 1.2552,                0.90458,                0.72989,                0.86487,                 0.5606,                 1.0671,                0.83992,                 1.2733,              0.0013589,              0.0013589,              0.0013589
                     16,                 1.0139,                0.91098,                 1.2519,                0.84108,                0.81072,                0.87253,                0.54541,                 1.1445,                0.79142,                 1.3846,              0.0013369,              0.0013369,              0.0013369
                     17,                 1.0351,                0.91187,                 1.2608,                0.77769,                0.73847,                 0.7537,                0.46204,                 1.1273,                0.96913,                  1.335,              0.0013149,              0.0013149,              0.0013149
                     18,                 1.0163,                0.91769,                 1.2448,                0.82072,                0.74441,                0.81333,                0.54397,                 1.0468,                0.79882,                  1.277,              0.0012929,              0.0012929,              0.0012929
                     19,                 1.0084,                0.86054,                 1.2478,                0.82275,                0.83769,                0.85169,                0.54467,                 1.1056,                   0.76,                 1.3043,              0.0012709,              0.0012709,              0.0012709
                     20,                0.98573,                0.85425,                 1.2378,                0.86687,                0.72254,                0.81996,                0.49615,                  1.153,                0.87169,                 1.3686,              0.0012489,              0.0012489,              0.0012489
                     21,                0.96361,                 0.8288,                 1.2144,                0.89318,                0.75956,                0.84655,                0.53889,                 1.1372,                0.85575,                  1.317,              0.0012269,              0.0012269,              0.0012269
                     22,                0.99313,                0.87415,                  1.229,                 0.8066,                0.77794,                0.84533,                0.54372,                 1.1284,                0.78073,                 1.3539,              0.0012049,              0.0012049,              0.0012049
                     23,                 0.9567,                0.80845,                 1.2103,                0.83906,                0.76108,                0.82676,                0.52801,                 1.0866,                 0.8203,                 1.2945,              0.0011829,              0.0011829,              0.0011829
                     24,                0.97123,                0.80616,                 1.2128,                0.83141,                0.77904,                0.85502,                0.57066,                 1.0416,                0.75819,                 1.2453,              0.0011609,              0.0011609,              0.0011609
                     25,                 0.9605,                 0.8021,                 1.1946,                 0.8879,                0.73072,                0.85711,                0.55071,                 1.0679,                0.76583,                 1.2713,              0.0011389,              0.0011389,              0.0011389
                     26,                0.94998,                  0.785,                 1.2164,                0.78591,                0.81341,                0.83208,                0.54327,                  1.099,                0.78386,                 1.3101,              0.0011169,              0.0011169,              0.0011169
                     27,                0.95717,                0.76946,                 1.2022,                0.86876,                0.80088,                0.87095,                0.56144,                 1.0853,                 0.7181,                 1.2983,              0.0010949,              0.0010949,              0.0010949
                     28,                0.90417,                0.74095,                 1.1729,                0.81993,                0.80462,                0.83939,                0.55571,                 1.0381,                0.71067,                 1.2666,              0.0010729,              0.0010729,              0.0010729
                     29,                0.92826,                0.75347,                 1.1864,                0.81218,                0.78088,                0.80692,                0.54238,                  1.059,                0.77626,                 1.2966,              0.0010509,              0.0010509,              0.0010509
                     30,                0.89412,                0.70917,                 1.1707,                0.88166,                0.76623,                0.84518,                 0.5524,                 1.0567,                0.71005,                 1.2925,              0.0010289,              0.0010289,              0.0010289
                     31,                0.92462,                0.72719,                 1.1824,                 0.8473,                0.82642,                0.86889,                0.58233,                  1.043,                0.70298,                  1.269,              0.0010069,              0.0010069,              0.0010069
                     32,                 0.8852,                0.70845,                 1.1615,                0.90167,                0.79369,                0.86483,                0.56744,                 1.0611,                0.67905,                 1.3105,             0.00098486,             0.00098486,             0.00098486
                     33,                0.91031,                0.69679,                 1.1773,                0.84667,                0.79902,                0.84392,                0.56121,                 1.0438,                0.71495,                 1.2843,             0.00096286,             0.00096286,             0.00096286
                     34,                0.88048,                0.67143,                 1.1528,                0.87253,                0.82915,                0.87688,                0.59045,                 1.0518,                0.66489,                 1.2867,             0.00094085,             0.00094085,             0.00094085
                     35,                0.88602,                0.68336,                 1.1644,                0.85313,                0.84384,                0.87589,                0.56784,                 1.1465,                 0.6822,                 1.3238,             0.00091885,             0.00091885,             0.00091885
                     36,                0.87957,                0.66293,                  1.156,                0.81378,                0.87648,                0.87341,                0.55457,                 1.0823,                0.68416,                 1.3123,             0.00089685,             0.00089685,             0.00089685
                     37,                0.85102,                0.64664,                 1.1436,                0.86317,                0.82489,                0.88158,                0.58954,                 1.0583,                 0.6672,                 1.2593,             0.00087484,             0.00087484,             0.00087484
                     38,                0.86088,                0.65223,                 1.1358,                0.87266,                0.86123,                0.90638,                0.60238,                 1.0222,                0.65492,                 1.2574,             0.00085284,             0.00085284,             0.00085284
                     39,                 0.8511,                0.65599,                 1.1287,                0.83618,                0.83714,                0.86362,                0.55739,                 1.0739,                0.70391,                 1.2998,             0.00083083,             0.00083083,             0.00083083
                     40,                0.83847,                 0.6205,                 1.1313,                0.86859,                0.84258,                0.88634,                 0.5919,                 1.0403,                  0.667,                 1.2473,             0.00080883,             0.00080883,             0.00080883
                     41,                0.84803,                0.62428,                 1.1323,                0.90163,                0.84374,                 0.8865,                0.58215,                 1.1291,                 0.6524,                 1.3039,             0.00078682,             0.00078682,             0.00078682
                     42,                0.83256,                0.61011,                 1.1179,                0.92818,                0.84308,                0.90932,                0.59705,                 1.0342,                0.59741,                 1.2496,             0.00076482,             0.00076482,             0.00076482
                     43,                0.82397,                0.61373,                 1.1231,                0.85579,                 0.8411,                 0.8747,                0.57873,                 1.0683,                0.64032,                 1.2863,             0.00074282,             0.00074282,             0.00074282
                     44,                0.82345,                  0.591,                 1.1142,                0.88488,                0.81201,                0.90342,                0.60211,                 1.0207,                0.61362,                 1.2344,             0.00072081,             0.00072081,             0.00072081
                     45,                0.78989,                0.58352,                 1.0979,                0.90973,                0.84571,                0.90818,                0.60512,                 1.0401,                0.59633,                 1.2613,             0.00069881,             0.00069881,             0.00069881
                     46,                0.80932,                0.58693,                 1.1133,                0.90777,                0.83968,                0.90174,                0.59889,                 1.0048,                0.58461,                 1.2343,              0.0006768,              0.0006768,              0.0006768
                     47,                0.80377,                0.58336,                 1.1082,                0.89526,                0.82229,                0.88469,                0.59335,                 1.0478,                0.65617,                 1.2575,              0.0006548,              0.0006548,              0.0006548
                     48,                0.80704,                0.57863,                 1.0868,                0.87099,                0.84595,                0.89517,                0.59849,                 1.0381,                0.61385,                 1.2491,             0.00063279,             0.00063279,             0.00063279
                     49,                0.77307,                0.56573,                  1.092,                0.89575,                0.81489,                0.87793,                0.59104,                  1.008,                0.65091,                 1.2369,             0.00061079,             0.00061079,             0.00061079
                     50,                0.78238,                0.55743,                 1.0906,                0.91092,                0.82197,                0.88809,                0.60219,                 1.0539,                0.63364,                 1.2776,             0.00058878,             0.00058878,             0.00058878
                     51,                0.78395,                0.55718,                 1.0705,                 0.8258,                0.83217,                0.85457,                0.58205,                 1.0618,                0.65304,                 1.2657,             0.00056678,             0.00056678,             0.00056678
                     52,                0.74707,                0.53294,                 1.0687,                 0.9104,                 0.8124,                0.88969,                0.60774,                 1.0361,                0.63061,                  1.229,             0.00054478,             0.00054478,             0.00054478
                     53,                0.75609,                0.53813,                 1.0746,                0.89069,                0.81676,                0.87247,                0.58305,                  1.031,                0.63179,                 1.2319,             0.00052277,             0.00052277,             0.00052277
                     54,                0.73585,                0.53408,                 1.0761,                0.89261,                0.81404,                0.90467,                 0.6218,                 1.0313,                 0.6197,                 1.2357,             0.00050077,             0.00050077,             0.00050077
                     55,                 0.7492,                0.53469,                 1.0679,                0.88576,                 0.7961,                 0.8814,                0.59773,                 1.0393,                0.62666,                 1.2633,             0.00047876,             0.00047876,             0.00047876
                     56,                0.74801,                0.52256,                 1.0766,                0.88349,                0.83926,                0.90585,                0.61104,                 1.0459,                0.59981,                 1.2598,             0.00045676,             0.00045676,             0.00045676
                     57,                 0.7396,                0.52783,                 1.0551,                0.87724,                0.86477,                0.91088,                 0.6205,                 1.0107,                0.60432,                 1.2274,             0.00043475,             0.00043475,             0.00043475
                     58,                0.70906,                0.49127,                  1.048,                0.85482,                0.85129,                0.90673,                0.61217,                 1.0504,                0.63736,                 1.2389,             0.00041275,             0.00041275,             0.00041275
                     59,                0.68771,                 0.4993,                 1.0526,                0.89368,                0.82051,                0.90351,                0.61556,                 1.0178,                0.59871,                 1.2444,             0.00039074,             0.00039074,             0.00039074
                     60,                0.70739,                0.49958,                 1.0463,                0.90778,                0.85055,                0.90289,                0.61487,                 1.0309,                0.57318,                 1.2534,             0.00036874,             0.00036874,             0.00036874
                     61,                0.70309,                 0.4799,                  1.038,                0.91147,                0.85692,                0.91259,                0.62506,                 1.0019,                0.55912,                  1.247,             0.00034674,             0.00034674,             0.00034674
                     62,                0.67415,                0.47422,                 1.0304,                0.91334,                0.86681,                0.91171,                0.61872,                 1.0375,                0.57699,                 1.2678,             0.00032473,             0.00032473,             0.00032473
                     63,                0.70577,                0.48833,                 1.0443,                0.89291,                0.85407,                0.90129,                0.61455,                  1.029,                0.57915,                 1.2567,             0.00030273,             0.00030273,             0.00030273
                     64,                0.68783,                 0.4735,                 1.0431,                0.94508,                0.81528,                0.91105,                 0.6172,                  1.038,                0.57789,                 1.2553,             0.00028072,             0.00028072,             0.00028072
                     65,                0.69492,                0.48021,                 1.0453,                0.90292,                0.86058,                0.90339,                0.61516,                 1.0091,                0.57456,                 1.2292,             0.00025872,             0.00025872,             0.00025872
                     66,                0.68484,                0.47349,                 1.0252,                0.89755,                0.84596,                0.90076,                0.60915,                 1.0261,                0.60328,                 1.2388,             0.00023671,             0.00023671,             0.00023671
                     67,                0.66932,                 0.4616,                 1.0284,                0.90925,                0.85296,                0.90042,                0.61955,                 1.0302,                0.58677,                   1.23,             0.00021471,             0.00021471,             0.00021471
                     68,                0.66482,                0.46185,                  1.044,                0.90595,                0.86967,                0.89948,                0.61518,                 1.0194,                0.57862,                 1.2469,             0.00019271,             0.00019271,             0.00019271
                     69,                 0.6872,                 0.4604,                 1.0318,                0.90042,                0.85202,                0.89891,                0.61726,                 1.0216,                 0.5773,                 1.2284,              0.0001707,              0.0001707,              0.0001707
                     70,                0.65947,                0.45098,                 1.0201,                0.92989,                0.81374,                0.90514,                0.62253,                 1.0126,                0.57475,                 1.2257,              0.0001487,              0.0001487,              0.0001487
                     71,                0.62431,                 0.4389,                  1.016,                0.90359,                0.87484,                0.91362,                0.62648,                 1.0224,                0.56154,                 1.2476,             0.00012669,             0.00012669,             0.00012669
                     72,                0.64653,                0.44517,                 1.0193,                0.90025,                0.86365,                0.90862,                0.62327,                  1.005,                0.56289,                  1.239,             0.00010469,             0.00010469,             0.00010469
                     73,                0.63575,                0.43325,                 1.0179,                0.89854,                0.86032,                0.90742,                0.62195,                 1.0028,                0.57421,                 1.2348,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     74,                0.63562,                0.43849,                 1.0171,                0.93485,                0.81291,                0.89906,                0.62023,                0.99911,                0.57682,                 1.2319,             6.0679e-05,             6.0679e-05,             6.0679e-05
